!-------------------------------------------------------------------
! Pressure drop file for Pipe segment 1
!-------------------------------------------------------------------
! The following correlations are supported:
!
! ALIAS     FULL NAME
! -----     ---------
!
! BB73      Beggs and Brill. 1973. "A Study of Two-Phase Flow in Inclined Pipes"
! TABLE     3D interpolation of a pressure drop table
!
!-------------------------------------------------------------------

CORRELATION TABLE 

!qg		qo	qw	dp
!1000m³/d	m³/d	m³/d	kgf/cm²
40	1125	225	24.5158002
40	1125	300	23.50662589
40	1125	375	22.78287462
40	1125	450	21.76350663
40	1125	525	20.65239551
40	1125	600	21.39653415
40	1125	675	21.55963303
40	1125	750	21.8756371
40	1125	825	22.17125382
40	1125	900	22.45667686
40	1125	975	22.7420999
40	1125	1050	23.01732926
40	1125	1125	23.29255861
40	1125	1200	23.55759429
40	1125	1275	23.81243629
40	1125	1350	24.06727829
40	1125	1425	24.17940877
40	1125	1500	24.43425076
40	1125	1575	24.68909276
40	1125	1650	24.94393476
40	1125	1725	25.19877676
40	1125	1800	25.44342508
40	1125	1875	25.69826707
40	1125	1950	25.94291539
40	1125	2025	26.18756371
40	1125	2100	26.43221203
40	1125	2175	26.67686035
40	1125	2250	26.93170234
40	1200	75	25.2803262
40	1200	150	24.47502548
40	1200	225	23.48623853
40	1200	300	22.57900102
40	1200	375	21.81447503
40	1200	450	20.65239551
40	1200	525	21.36595311
40	1200	600	21.53924567
40	1200	675	21.84505607
40	1200	750	22.14067278
40	1200	825	22.42609582
40	1200	900	22.71151886
40	1200	975	22.98674822
40	1200	1050	23.26197757
40	1200	1125	23.52701325
40	1200	1200	23.78185525
40	1200	1275	24.03669725
40	1200	1350	24.14882773
40	1200	1425	24.40366972
40	1200	1500	24.65851172
40	1200	1575	24.91335372
40	1200	1650	25.16819572
40	1200	1725	25.41284404
40	1200	1800	25.65749235
40	1200	1875	25.91233435
40	1200	1950	26.15698267
40	1200	2025	26.40163099
40	1200	2100	26.64627931
40	1200	2175	26.89092762
40	1200	2250	27.13557594
40	1275	75	24.43425076
40	1275	150	23.48623853
40	1275	225	23.18042813
40	1275	300	21.86544343
40	1275	375	20.66258919
40	1275	450	21.34556575
40	1275	525	21.50866463
40	1275	600	21.81447503
40	1275	675	22.11009174
40	1275	750	22.40570846
40	1275	825	22.68093782
40	1275	900	22.95616718
40	1275	975	23.23139653
40	1275	1050	23.49643221
40	1275	1125	23.75127421
40	1275	1200	24.00611621
40	1275	1275	24.11824669
40	1275	1350	24.38328236
40	1275	1425	24.63812436
40	1275	1500	24.88277268
40	1275	1575	25.13761468
40	1275	1650	25.382263
40	1275	1725	25.62691131
40	1275	1800	25.88175331
40	1275	1875	26.12640163
40	1275	1950	26.37104995
40	1275	2025	26.61569827
40	1275	2100	26.86034659
40	1275	2175	27.1049949
40	1275	2250	27.34964322
40	1350	75	23.47604485
40	1350	150	23.19062181
40	1350	225	21.9266055
40	1350	300	20.69317023
40	1350	375	21.33537207
40	1350	450	21.48827727
40	1350	525	21.79408767
40	1350	600	22.08970438
